id	length
LOC100144792	1023
LOC100144797	705
LOC100144801	465
LOC100144869	429
LOC100144886	405
LOC100144888	366
LOC100144890	360
LOC100144893	348
LOC100144894	336
LOC100144895	315
LOC100144902	198
LOC100144903	198
LOC100144904	174
LOC100144907	540
LOC100144909	903
LOC100144913	723
LOC100144917	930
LOC100145822	1131
LOC100145824	1107
LOC100145825	1014
LOC100145826	765
LOC100145829	453
LOC100145833	324
LOC100158659	3288
LOC100158660	798
LOC100158661	919.5
LOC100158662	1795.5
LOC100158663	6795
LOC100158664	861
LOC100158665	1773
LOC100158666	1848
LOC100158668	813
LOC100158669	2271
LOC100158670	807
LOC100158671	3772.5
LOC100158672	1449
LOC100158673	1812
LOC100158674	450
LOC100158675	3852
LOC100158676	3393
LOC100158679	1230
LOC100158680	564
LOC100158681	1953
LOC100158682	1374
LOC100158683	1092
LOC100158686	774
LOC100158687	1044
LOC100158688	612
LOC100158689	2490
LOC100158690	972
LOC100158692	1102.5
LOC100158693	1029
LOC100158694	1425
LOC100158695	1471.5
LOC100158696	1006.5
LOC100158698	591
LOC100158699	906
LOC100158700	1365
LOC100158702	1320
LOC100158703	2088
LOC100158704	3226.33333333333
LOC100158707	2334
LOC100158708	1131
LOC100158710	627
LOC100158712	870
LOC100158713	1632
LOC100158715	1179
LOC100158717	1866
LOC100158718	873
LOC100158720	1875
LOC100158721	366
LOC100158722	723
LOC100158725	2667
LOC100158726	501
LOC100158727	936
LOC100158728	1215
LOC100158729	802.5
LOC100158730	933
LOC100158731	2442
LOC100158732	4743
LOC100158733	2757
LOC100158734	2362.5
LOC100158735	1960.28571428571
LOC100158736	1461
LOC100158737	1530
LOC100158739	2925
LOC100158740	2634
LOC100158742	2490
LOC100158743	711
LOC100158745	435
LOC100158746	886.5
LOC100158747	723
LOC100158748	276
LOC100158749	1201
LOC100158750	594
LOC100158751	801
LOC100158753	907
LOC100158754	1239
LOC100158756	912
LOC100158757	1233
LOC100158759	948
LOC100158760	1797
LOC100158764	678
LOC100158765	1026
LOC100158766	1371
LOC100158767	763.5
LOC100158768	1929
LOC100158771	341.4
LOC100158772	2520
LOC100158774	1911
LOC100158775	1113
LOC100158776	1125
LOC100158780	787.5
LOC100158781	2316
LOC100158782	1296
LOC100158783	1695
LOC100158785	1489.5
LOC100158786	2037
LOC100158787	3552
LOC100158788	339
LOC100158789	615
LOC100158790	3228
LOC100158791	4746
LOC100158792	966
LOC100158793	1416
LOC100158794	3225
LOC100158795	1317
LOC100158796	1053
LOC100158802	3451.5
LOC100158803	695.4
LOC100158804	318
LOC100158806	1116
LOC100158807	894
LOC100158808	690
LOC100158811	1305
LOC100158812	1686
LOC100158813	366
LOC100158815	3133.5
LOC100158816	1239
LOC100158818	786
LOC100158819	348
LOC100158821	783
LOC100158822	846
LOC100158825	1501.5
LOC100158826	11106
LOC100158827	1518
LOC100158828	1971
LOC100158829	354
LOC100158830	1191
LOC100158831	1137
LOC100158832	981
LOC100158833	1665
LOC100158834	829.5
LOC100158835	3111
LOC100158837	2346
LOC100158838	969
LOC100158839	858
LOC100158840	5349
LOC100158841	1578
LOC100158842	1740
LOC100158843	2142
LOC100158844	4885.5
LOC100158845	933
LOC100158849	2394
LOC100158850	1045.5
LOC100158851	603
LOC100158852	2481
LOC100158853	1800
LOC100158854	543
LOC100158855	6274.5
LOC100158856	1545
LOC100158857	6063
LOC100158858	1422
LOC100158859	1050
LOC100158860	1149
LOC100158861	297
LOC100158863	654
LOC100158864	594
LOC100158866	627
LOC100158867	2160
LOC100158868	1767
LOC100158869	1415.25
LOC100158872	378
LOC100158873	537
LOC100158874	3349.5
LOC100158875	1716
LOC100158876	1224
LOC100158877	3237
LOC100158882	546
LOC100158883	6241.5
LOC100158884	686.4
LOC100158887	285
LOC100158890	1758
LOC100158892	1848
LOC100158893	717
LOC100158897	763.5
LOC100158898	2011
LOC100158899	1005
LOC100158900	1623
LOC100158903	1191
LOC100158904	459
LOC100158905	2799
LOC100158906	1563
LOC100158907	4089
LOC100158908	2806
LOC100158909	825
LOC100158910	1335
LOC100158911	4752
LOC100158912	519
LOC100158913	1713
LOC100158915	1903.5
LOC100158916	1653
LOC100158918	915
LOC100158919	984
LOC100158920	1293
LOC100158922	3270.75
LOC100158923	609
LOC100158924	1225.5
LOC100158925	849
LOC100158926	3316.5
LOC100158927	1275
LOC100158928	492
LOC100158929	807
LOC100158930	591
LOC100158931	2720
LOC100158932	984
LOC100158933	4830
LOC100158934	309
LOC100158935	1128
LOC100158937	4434
LOC100158938	762
LOC100158939	3930
LOC100158940	1248
LOC100158942	4101
LOC100158944	1554
LOC100158945	1275
LOC100158946	1704
LOC100158947	819
LOC100158948	1792.5
LOC100158949	876
LOC100158950	801
LOC100158951	945
LOC100158952	447
LOC100158953	1641
LOC100158954	3012
LOC100158956	1968
LOC100158957	183
LOC100158958	1446
LOC100158962	562.5
LOC100158963	2100
LOC100158964	1228.5
LOC100158965	1497
LOC100158966	1011
LOC100158969	1113
LOC100158970	2226
LOC100158972	4998
LOC100158973	633
LOC100158974	957
LOC100158976	838.5
LOC100158977	1086
LOC100158978	648
LOC100158979	915
LOC100158980	171
LOC100158981	3354
LOC100158983	357
LOC100158984	1668
LOC100158985	1185
LOC100158987	2580
LOC100158988	3066
LOC100158990	1779
LOC100158991	2394
LOC100158993	2574
LOC100158994	3501
LOC100158995	1605
LOC100158996	1014
LOC100158999	969
LOC100159002	747
LOC100159005	468
LOC100159008	2487
LOC100159009	6874.5
LOC100159010	8748
LOC100159011	651
LOC100159013	1341
LOC100159014	390
LOC100159015	3036
LOC100159016	999
LOC100159019	1608
LOC100159021	2073
LOC100159023	681
LOC100159024	486
LOC100159025	1934.57142857143
LOC100159026	1503
LOC100159027	1071
LOC100159028	1326
LOC100159030	7327.5
LOC100159031	972
LOC100159032	1866
LOC100159033	369
LOC100159034	1593
LOC100159035	213
LOC100159036	703.5
LOC100159037	891
LOC100159038	1185
LOC100159039	1198.8
LOC100159040	879
LOC100159041	2214
LOC100159043	3330
LOC100159044	2310.5
LOC100159045	423
LOC100159047	900
LOC100159048	1914
LOC100159049	2043
LOC100159050	1587
LOC100159051	759
LOC100159052	2944.5
LOC100159053	880.5
LOC100159054	2451
LOC100159055	933
LOC100159056	2046
LOC100159057	1584
LOC100159060	405
LOC100159061	8265
LOC100159063	963
LOC100159064	777
LOC100159065	1965
LOC100159066	2170.5
LOC100159067	1140
LOC100159068	1554
LOC100159070	1290
LOC100159071	1377
LOC100159074	423
LOC100159075	1521
LOC100159076	1716
LOC100159077	1570
LOC100159080	1653
LOC100159081	714
LOC100159083	2841
LOC100159086	573
LOC100159087	777
LOC100159088	918
LOC100159090	1791.75
LOC100159092	543
LOC100159093	1773
LOC100159094	927
LOC100159095	1737
LOC100159096	1008
LOC100159099	1431
LOC100159100	1671
LOC100159102	1071
LOC100159103	2004
LOC100159104	609
LOC100159106	3332.25
LOC100159107	2199
LOC100159108	791
LOC100159109	1021.5
LOC100159110	468
LOC100159114	993
LOC100159115	615
LOC100159117	1227
LOC100159118	603
LOC100159119	672
LOC100159120	1107
LOC100159122	1476
LOC100159123	1840
LOC100159124	1290
LOC100159128	1209
LOC100159129	3543
LOC100159131	2235
LOC100159133	1986
LOC100159134	2007
LOC100159135	2589
LOC100159136	1629
LOC100159138	1875
LOC100159139	1377
LOC100159140	3582
LOC100159141	1896
LOC100159142	1146
LOC100159143	909
LOC100159144	2494.5
LOC100159145	447
LOC100159146	3906
LOC100159148	1479
LOC100159149	1527
LOC100159150	612
LOC100159151	1452
LOC100159152	1513.5
LOC100159153	3612
LOC100159154	3729
LOC100159157	1872
LOC100159159	3969
LOC100159160	2862
LOC100159162	1260
LOC100159163	775.5
LOC100159165	939
LOC100159166	873.75
LOC100159168	807
LOC100159169	3319.5
LOC100159170	801
LOC100159172	1356
LOC100159173	2535
LOC100159176	706.5
LOC100159177	4596
LOC100159178	1552.5
LOC100159179	1596
LOC100159180	336
LOC100159182	1785
LOC100159183	768
LOC100159184	2301
LOC100159186	1002
LOC100159187	756
LOC100159188	1809
LOC100159189	786
LOC100159190	658.5
LOC100159191	1125
LOC100159192	1611
LOC100159193	486
LOC100159194	1920
LOC100159195	759
LOC100159196	1251
LOC100159197	1242
LOC100159200	1173
LOC100159201	1080
LOC100159202	493.5
LOC100159203	2389.5
LOC100159205	937
LOC100159206	618
LOC100159207	2010
LOC100159210	768
LOC100159211	2331
LOC100159213	2118
LOC100159214	648
LOC100159215	1143
LOC100159216	2418
LOC100159217	1515
LOC100159218	549
LOC100159219	775.5
LOC100159220	853
LOC100159221	963
LOC100159222	2445
LOC100159225	1056
LOC100159226	1420.5
LOC100159227	1791
LOC100159228	1785
LOC100159229	1656
LOC100159230	702
LOC100159231	1245
LOC100159232	4422
LOC100159233	927
LOC100159234	2381
LOC100159235	1893
LOC100159237	1608
LOC100159238	402
LOC100159241	1865.5
LOC100159243	1401
LOC100159244	1473
LOC100159245	2893
LOC100159246	1809
LOC100159248	1527
LOC100159249	5346
LOC100159250	2298.75
LOC100159251	2292
LOC100159252	837
LOC100159253	946.5
LOC100159254	1038
LOC100159255	969
LOC100159256	1149
LOC100159257	1968.75
LOC100159258	1281
LOC100159259	1008
LOC100159260	1263
LOC100159261	1433
LOC100159262	1542
LOC100159263	3300
LOC100159265	1815
LOC100159268	813
LOC100159271	2139
LOC100159273	237
LOC100159274	2214
LOC100159275	1792.5
LOC100159277	2388
LOC100159278	1599
LOC100159279	2726
LOC100159280	1399
LOC100159282	519
LOC100159283	1201.5
LOC100159285	1404
LOC100159286	1824
LOC100159287	768
LOC100159289	1107
LOC100159293	444
LOC100159296	1161
LOC100159297	414
LOC100159298	1206
LOC100159299	1023
LOC100159302	933
LOC100159303	1074
LOC100159304	849
LOC100159306	4542
LOC100159307	1143
LOC100159310	1989
LOC100159311	858
LOC100159313	1320
LOC100159314	1038
LOC100159315	669
LOC100159316	561
LOC100159317	2162.4
LOC100159320	2712
LOC100159321	4380
LOC100159323	1254
LOC100159324	2064
LOC100159325	2505
LOC100159326	5753.25
LOC100159327	1170
LOC100159328	882
LOC100159330	1179
LOC100159331	20451
LOC100159332	1767
LOC100159333	1524
LOC100159334	444
LOC100159336	780
LOC100159338	747
LOC100159339	687
LOC100159344	1836
LOC100159345	3673.2
LOC100159346	771
LOC100159347	819
LOC100159348	2100
LOC100159349	1440
LOC100159350	1045.5
LOC100159351	2304
LOC100159352	1878
LOC100159353	702
LOC100159355	1619.25
LOC100159356	678
LOC100159357	963
LOC100159359	7149
LOC100159360	2190
LOC100159361	4515
LOC100159364	2232.6
LOC100159365	900
LOC100159366	1317
LOC100159367	927
LOC100159368	1536
LOC100159369	1050
LOC100159370	372
LOC100159371	3094.2
LOC100159372	1257
LOC100159373	1728
LOC100159374	3885
LOC100159375	1546.5
LOC100159378	6066.5
LOC100159379	1266
LOC100159380	1410
LOC100159381	1695
LOC100159382	867
LOC100159383	5595
LOC100159384	1440
LOC100159385	855
LOC100159386	621
LOC100159387	1414.5
LOC100159388	1314
LOC100159389	285
LOC100159390	1029
LOC100159391	2466
LOC100159393	3843.75
LOC100159394	1858.5
LOC100159395	1698
LOC100159396	1206
LOC100159398	519
LOC100159399	408
LOC100159402	324
LOC100159403	538
LOC100159404	1731
LOC100159405	1362
LOC100159407	1119
LOC100159409	1072.2
LOC100159410	594
LOC100159411	912
LOC100159412	639
LOC100159413	1692
LOC100159415	1695
LOC100159416	975
LOC100159417	747
LOC100159418	2037
LOC100159419	486
LOC100159421	609
LOC100159422	2169
LOC100159423	573
LOC100159424	1047
LOC100159425	978
LOC100159427	3027
LOC100159428	1632
LOC100159429	1804.2
LOC100159430	639
LOC100159431	585
LOC100159432	723
LOC100159434	1710
LOC100159435	1548
LOC100159439	474
LOC100159441	1847.57142857143
LOC100159443	1854
LOC100159444	760.5
LOC100159445	1719
LOC100159446	675
LOC100159447	1263
LOC100159449	432
LOC100159450	1935
LOC100159451	990
LOC100159452	1537.2
LOC100159454	1002
LOC100159455	1449
LOC100159456	3174
LOC100159458	2616
LOC100159459	2995.5
LOC100159460	1341
LOC100159461	1281
LOC100159462	636
LOC100159463	1284
LOC100159465	438
LOC100159466	318
LOC100159468	1260
LOC100159469	4119
LOC100159470	2907
LOC100159471	3699
LOC100159472	864
LOC100159475	1758
LOC100159476	8182
LOC100159477	1989
LOC100159478	3591
LOC100159479	2703
LOC100159480	396
LOC100159481	2028
LOC100159482	2571
LOC100159483	1779
LOC100159484	1551
LOC100159485	444
LOC100159487	987
LOC100159488	2244
LOC100159489	1380
LOC100159491	3858
LOC100159492	3351
LOC100159493	354
LOC100159494	1194
LOC100159495	901.8
LOC100159498	1971
LOC100159499	861
LOC100159500	5154
LOC100159501	1780.2
LOC100159502	2517
LOC100159503	1725
LOC100159505	1029
LOC100159506	1488
LOC100159507	2178
LOC100159508	2083.5
LOC100159509	2580
LOC100159510	918
LOC100159512	546
LOC100159513	1845
LOC100159514	2169
LOC100159515	3123
LOC100159516	462
LOC100159518	942
LOC100159519	2067
LOC100159520	345
LOC100159521	894
LOC100159522	1626
LOC100159523	1053
LOC100159524	231
LOC100159525	2415
LOC100159527	705
LOC100159528	774
LOC100159530	1878
LOC100159531	3592
LOC100159533	366
LOC100159535	594
LOC100159536	324
LOC100159537	1026
LOC100159540	783
LOC100159541	1977
LOC100159542	1992
LOC100159545	1032
LOC100159546	2130
LOC100159547	7255.5
LOC100159549	1989
LOC100159550	1494.6
LOC100159551	786
LOC100159552	450
LOC100159553	4104
LOC100159555	1830
LOC100159556	1281
LOC100159557	1920
LOC100159558	1599
LOC100159559	3028
LOC100159560	1203
LOC100159560-2	1203
LOC100159561	1863
LOC100159562	928.5
LOC100159563	1053
LOC100159564	4580
LOC100159565	1602
LOC100159566	2940
LOC100159567	591
LOC100159568	2902.5
LOC100159569	2493
LOC100159570	1281
LOC100159571	393
LOC100159572	483
LOC100159573	1899
LOC100159574	1227
LOC100159575	1155
LOC100159576	870
LOC100159578	1615.5
LOC100159579	3675
LOC100159580	1557
LOC100159581	1071
LOC100159582	3661.5
LOC100159583	5013
LOC100159584	549
LOC100159585	1893
LOC100159587	417
LOC100159588	1401
LOC100159589	2870
LOC100159593	1575
LOC100159594	924
LOC100159595	1086
LOC100159596	597
LOC100159597	1011
LOC100159599	1202
LOC100159604	546
LOC100159605	1719.75
LOC100159606	1209
LOC100159607	1566
LOC100159608	3654
LOC100159609	1344
LOC100159610	1644
LOC100159612	855
LOC100159613	819
LOC100159614	783
LOC100159616	1434
LOC100159618	930
LOC100159619	615
LOC100159621	2877
LOC100159623	1395
LOC100159625	1251
LOC100159626	1809
LOC100159627	849
LOC100159630	1332
LOC100159631	3123
LOC100159632	3444
LOC100159633	2049
LOC100159637	1503
LOC100159638	1050.42857142857
LOC100159639	633
LOC100159640	2019
LOC100159641	747
LOC100159642	1086
LOC100159643	996
LOC100159644	2550
LOC100159645	696
LOC100159646	453
LOC100159647	2640
LOC100159648	1401
LOC100159649	1164
LOC100159650	720
LOC100159651	1570.28571428571
LOC100159652	909
LOC100159653	1269
LOC100159654	1362
LOC100159655	1407
LOC100159656	5847
LOC100159657	1848
LOC100159658	1722
LOC100159659	3246
LOC100159660	2406
LOC100159662	714
LOC100159663	1021
LOC100159664	924
LOC100159666	747
LOC100159667	1534.2
LOC100159668	4503
LOC100159669	10068
LOC100159670	1020
LOC100159671	2570
LOC100159673	552
LOC100159674	3312
LOC100159675	3009
LOC100159676	1068
LOC100159678	1170
LOC100159679	2889.75
LOC100159680	1974
LOC100159681	640.5
LOC100159682	1515
LOC100159683	2181
LOC100159684	1413
LOC100159685	777
LOC100159686	1923
LOC100159687	2844
LOC100159688	315
LOC100159689	1857
LOC100159691	1620
LOC100159692	955.5
LOC100159693	8268
LOC100159694	6072
LOC100159695	1081.5
LOC100159696	3567
LOC100159697	1443
LOC100159700	2000.5
LOC100159701	1044
LOC100159702	1021
LOC100159703	1734
LOC100159704	2382
LOC100159705	420
LOC100159706	876
LOC100159707	813
LOC100159708	1365
LOC100159709	5445
LOC100159710	1791
LOC100159711	867
LOC100159712	3633
LOC100159713	1545
LOC100159715	363
LOC100159716	1337
LOC100159717	1837.5
LOC100159718	867
LOC100159719	2229
LOC100159720	1008
LOC100159721	5139
LOC100159722	999
LOC100159723	2023.5
LOC100159724	1473
LOC100159725	894
LOC100159728	1669.2
LOC100159729	700
LOC100159730	1686
LOC100159731	1758
LOC100159732	555
LOC100159733	2082
LOC100159736	696
LOC100159738	2862
LOC100159739	2352
LOC100159740	2865
LOC100159741	1137
LOC100159742	1191
LOC100159743	2616
LOC100159744	411
LOC100159745	1179
LOC100159747	3455.25
LOC100159748	1185
LOC100159749	363
LOC100159750	522.75
LOC100159751	1659
LOC100159752	318
LOC100159753	657
LOC100159754	1391.4
LOC100159755	1491
LOC100159756	603
LOC100159757	642
LOC100159758	2315.4
LOC100159759	234
LOC100159760	705
LOC100159761	1091
LOC100159762	729
LOC100159764	1260
LOC100159766	420
LOC100159768	984
LOC100159769	5322
LOC100159770	3609
LOC100159771	3282
LOC100159773	1898.25
LOC100159774	453
LOC100159775	1413
LOC100159776	1239
LOC100159777	1404
LOC100159778	2548.5
LOC100159779	396
LOC100159782	1341
LOC100159783	1080
LOC100159785	2799
LOC100159787	423
LOC100159788	1104
LOC100159789	1092
LOC100159790	4908
LOC100159791	768
LOC100159795	1234
LOC100159796	279
LOC100159797	1659
LOC100159798	1317
LOC100159799	1068
LOC100159800	351
LOC100159801	1764
LOC100159803	2022
LOC100159804	672
LOC100159805	1740
LOC100159806	1614
LOC100159807	1722
LOC100159808	1083
LOC100159809	1131
LOC100159810	1179
LOC100159811	3030
LOC100159812	1845.75
LOC100159814	1972
LOC100159815	2493
LOC100159817	2494.5
LOC100159818	3216
LOC100159821	1977
LOC100159822	2893.5
LOC100159824	3735
LOC100159826	678
LOC100159827	5878.5
LOC100159828	1872
LOC100159829	2431.5
LOC100159830	741
LOC100159832	2055
LOC100159833	993
LOC100159835	2031.85714285714
LOC100159836	1281
LOC100159838	597
LOC100159839	1695
LOC100159840	1140
LOC100159841	1761
LOC100159842	1782
LOC100159843	1131
LOC100159845	936
LOC100159847	879
LOC100159848	1771.5
LOC100159849	633
LOC100159850	987
LOC100159851	1206
LOC100159852	5065.8
LOC100159853	1326
LOC100159854	915
LOC100159855	1086
LOC100159856	2184
LOC100159857	726
LOC100159859	1026
LOC100159860	329.25
LOC100159861	5516.25
LOC100159862	2771.25
LOC100159863	1053
LOC100159864	1998
LOC100159865	1665
LOC100159868	1011
LOC100159869	1530
LOC100159870	1236
LOC100159871	1821
LOC100159872	1239
LOC100159875	1575
LOC100159876	441
LOC100159877	3447
LOC100159878	543
LOC100159880	4807.2
LOC100159883	612
LOC100159884	1132.5
LOC100159885	1548
LOC100159886	1010
LOC100159887	2149.5
LOC100159888	2630.5
LOC100159889	2706.75
LOC100159890	819
LOC100159892	936
LOC100159893	1731
LOC100159894	1149
LOC100159895	967.5
LOC100159897	2997
LOC100159898	1278
LOC100159899	2529
LOC100159900	3453
LOC100159901	1971
LOC100159902	937.5
LOC100159903	1719
LOC100159904	1839
LOC100159905	783
LOC100159906	1974
LOC100159910	2907
LOC100159911	1887
LOC100159913	756
LOC100159914	1230
LOC100159915	2495
LOC100159916	2265
LOC100159917	1104
LOC100159918	4371
LOC100159919	2595
LOC100159920	1476
LOC100159921	936
LOC100159922	1542
LOC100159923	441
LOC100159924	228
LOC100159925	3465
LOC100159926	1305
LOC100159927	2091
LOC100159929	3319.5
LOC100159930	291
LOC100159931	3825
LOC100159932	643.5
LOC100159933	1239
LOC100159934	864
LOC100159935	1506
LOC100159936	1807.5
LOC100159937	1785
LOC100159938	4170
LOC100159939	1179
LOC100159941	5355
LOC100159942	1047
LOC100159943	1014
LOC100159944	474
LOC100159947	781.5
LOC100159948	2106
LOC100159949	1350
LOC100159951	780
LOC100159953	501
LOC100159954	879
LOC100159955	1037
LOC100159957	375
LOC100159958	1521
LOC100159959	2454
LOC100159960	954
LOC100159962	510
LOC100159963	654
LOC100159964	753
LOC100159965	1308
LOC100159966	1665
LOC100159967	813
LOC100159968	1134
LOC100159970	2056.5
LOC100159972	930
LOC100159973	447
LOC100159974	774
LOC100159976	3936
LOC100159977	2976
LOC100159978	1317
LOC100159979	804
LOC100159980	2457
LOC100159982	1314
LOC100159983	612
LOC100159984	699
LOC100159985	1596
LOC100159987	4934
LOC100159988	285
LOC100159989	1692
LOC100159990	387
LOC100159991	1392
LOC100159992	843
LOC100159993	500
LOC100159994	1269
LOC100159995	1326
LOC100159996	1206
LOC100159997	1618.5
LOC100159998	1284
LOC100159999	990
LOC100160001	3204
LOC100160002	1887
LOC100160004	1959
LOC100160005	697.5
LOC100160007	876
LOC100160009	1212
LOC100160010	246
LOC100160011	1344
LOC100160013	672
LOC100160014	2434.5
LOC100160016	411
LOC100160017	930
LOC100160018	663
LOC100160019	8393.5
LOC100160020	1650
LOC100160021	1644
LOC100160022	2477
LOC100160026	903
LOC100160027	675
LOC100160028	1425
LOC100160029	831
LOC100160030	1336.5
LOC100160031	852
LOC100160033	1299
LOC100160034	2112
LOC100160035	654
LOC100160037	1159
LOC100160038	1053
LOC100160039	579
LOC100160040	1893
LOC100160041	1479
LOC100160043	2964
LOC100160044	654
LOC100160045	635
LOC100160046	1515
LOC100160047	1779.15
LOC100160048	1788
LOC100160050	984
LOC100160052	3936
LOC100160053	2190
LOC100160055	1323
LOC100160056	1638
LOC100160057	2784
LOC100160059	1218
LOC100160060	1243
LOC100160061	1413
LOC100160062	747
LOC100160065	4716
LOC100160066	2499
LOC100160070	1500
LOC100160072	1287
LOC100160073	966
LOC100160074	1239
LOC100160075	11097
LOC100160076	1560
LOC100160077	1710
LOC100160078	966
LOC100160079	1410
LOC100160080	2133
LOC100160081	1188
LOC100160082	879
LOC100160083	2130
LOC100160084	4253
LOC100160085	1632
LOC100160086	963
LOC100160087	816
LOC100160088	2719.5
LOC100160089	3396
LOC100160090	1479
LOC100160092	2457
LOC100160094	2418
LOC100160095	943.5
LOC100160096	1293
LOC100160097	933
LOC100160101	1230
LOC100160104	1545
LOC100160105	1494
LOC100160106	1376
LOC100160108	1380
LOC100160109	2361
LOC100160110	714
LOC100160111	1767
LOC100160112	1209
LOC100160116	549
LOC100160117	597
LOC100160119	786
LOC100160120	2331
LOC100160121	3165
LOC100160123	765
LOC100160125	2607
LOC100160127	663
LOC100160128	393
LOC100160129	1074
LOC100160130	2457
LOC100160131	438
LOC100160133	4059
LOC100160135	3846
LOC100160136	8052
LOC100160137	1521
LOC100160141	2818.5
LOC100160142	3147
LOC100160143	1080
LOC100160144	385.5
LOC100160145	852
LOC100160146	2325
LOC100160147	2691
LOC100160148	2703
